"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN25LA020","ACC","195351","2024-10-17T16:00:00Z","Addison","Texas","United States",,"N903SC","NCC-1701","false","Aviation","DirectorBrief","2025-02-21T05:00:00Z","2025-02-21T19:00:00Z","None","0","0","0","0","0","Foreign object debris damage to the ventral stabilizer. The source of the debris could not be determined based on the available information.","Environmental issues - Physical environment - Object/animal/substance - Debris/dirt/foreign object - Effect on equipment, Environmental issues - Physical environment - Object/animal/substance - Debris/dirt/foreign object - Unknown/Not determined",,"32.969841000000002","-96.835935000000006","Starship","Enterprise","AIR","ADS","Addison Airport","false","2","TP",,"PERS","091","Substantial","VMC",,"Unknown","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195351","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195351/pdf"
"CEN25LA008","ACC","195281","2024-10-08T14:00:00Z","Inguadona","Minnesota","United States",,"N212FB","802A-0368","false","Aviation","DirectorBrief","2025-01-21T05:00:00Z","2025-01-21T18:00:00Z","None","0","0","0","0","0","The pilot’s failure to properly configure the landing gear on the amphibious airplane before a water landing.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Incorrect use/operation",,"46.954186999999997","-94.130431999999999","AIR TRACTOR INC","AT-802A","AIR",,,"false","1","TP",,"FIRF","137","Substantial","VMC","AERO SPRAY INC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195281","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195281/pdf"
"WPR24LA300","ACC","195086","2024-08-31T14:40:00Z","Mulino","Oregon","United States",,"N902ST","153","false","Aviation","DirectorBrief","2025-03-06T05:00:00Z","2025-03-06T19:00:00Z","None","0","0","0","0",,"The skydiver’s unintentional parachute deployment and subsequent entanglement with the airplane’s horizontal stabilizer.","Aircraft - Aircraft structures - Empennage structure - Horizontal stabilizer - Damaged/degraded, Environmental issues - Physical environment - Object/animal/substance - Person - Effect on equipment",,"45.216555999999997","-122.59019000000001","PACIFIC AEROSPACE CORP LTD","750XL","AIR","4S9","MULINO STATE","false","1","TP",,"SKYD","091","Substantial","VMC","TRUE NORTH AVIATION LLC","Unknown","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195086","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195086/pdf"
"ERA24LA360","ACC","195017","2024-08-26T13:01:00Z","Jesup","Georgia","United States",,"N686AC","BE-127","false","Aviation","DirectorBrief","2024-12-19T05:00:00Z","2024-12-19T18:00:00Z","None","0","0","0","0",,"A hard landing short of the runway threshold, which resulted in a collapse of the left main landing gear and subsequent runway excursion during landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"31.555519","-81.887623000000005","BEECH","B100","AIR","JES","JESUP-WAYNE COUNTY","false","2","TP",,"PERS","091","Substantial","VMC","STM AIR LLC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195017","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195017/pdf"
"ERA24LA354","ACC","194972","2024-08-19T08:58:00Z","Asheboro","North Carolina","United States",,"N600KA","FA-143","false","Aviation","DirectorBrief","2024-11-08T05:00:00Z","2024-11-08T19:00:00Z","None","0","0","0","0",,"The pilot’s failure to extend the landing gear before landing.","Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot, Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Not used/operated",,"35.655068999999997","-79.896499000000006","BEECH","300","AIR","HBI","ASHEBORO RGNL","false","2","TP",,"PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194972","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194972/pdf"
"WPR24LA282","ACC","194957","2024-08-13T11:00:00Z","Durham","California","United States",,"N6633K","400B","false","Aviation","DirectorBrief","2025-03-06T05:00:00Z","2025-03-06T19:00:00Z","Serious","0","1","0","1",,"The pilot’s failure to maintain clearance from powerlines, which resulted in a wire strike.","Personnel issues - Psychological - Attention/monitoring - Attention - Pilot, Environmental issues - Physical environment - Object/animal/substance - Wire - Effect on equipment",,"39.543815000000002","-121.65765","GRUMMAN ACFT ENG COR-SCHWEIZER","G-164B","AIR","OVE","OROVILLE MUNI","false","1","TP",,"AAPL","137","Substantial","VMC",,"Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194957","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194957/pdf"
"CEN24LA314","ACC","194910","2024-08-11T18:17:00Z","Whitewright","Texas","United States",,"N420DZ","208B0909","false","Aviation","DirectorBrief","2024-11-19T05:00:00Z","2024-11-19T19:00:00Z","None","0","0","0","0","0","The pilot’s incomplete flare which resulted a hard, flat landing.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Incorrect use/operation",,"33.448067000000002","-96.377663999999996","CESSNA","208","AIR","48TX","TRI-COUNTY AERODROME","false","1","TP",,"PERS","091","Substantial","VMC","Skydive Spaceland Dallas","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194910","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194910/pdf"
"CEN24LA261","ACC","194687","2024-07-12T14:00:00Z","Decatur","Illinois","United States",,"N528JC","602-05287","false","Aviation","DirectorBrief","2024-11-08T05:00:00Z","2024-11-08T19:00:00Z","None","0","0","0","0","0","The pilot’s inability to maintain directional control during the landing roll due to the malfunction of the tail wheel locking mechanism.","Aircraft - Aircraft systems - Landing gear system - (general) - Malfunction, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Attain/maintain not possible",,"39.835461000000002","-88.873558000000003","AIR TRACTOR","AT602","AIR","DEC","DECATUR","false","1","TP",,"POSI","137","Substantial","VMC","Farm Air, Inc.","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194687","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194687/pdf"
"CEN24LA257","ACC","194653","2024-07-08T08:50:00Z","Sedgwick","Arkansas","United States",,"N6500K","336B","false","Aviation","DirectorBrief","2024-11-08T05:00:00Z","2024-11-08T19:00:00Z","Minor","0","0","1","1",,"The pilot’s failure to maintain clearance from a power line during the spray pass.","Personnel issues - Psychological - Attention/monitoring - Monitoring environment - Pilot, Environmental issues - Physical environment - Object/animal/substance - Wire - Effect on equipment, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Altitude - Not attained/maintained",,"35.978569999999998","-90.856399999999994","GRUMMAN ACFT ENG COR-SCHWEIZER","G-164B","AIR",,,"false","1","TP",,"AAPL","137","Substantial","VMC","SCOTT FLYING SERVICE INC","Maneuvering","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194653","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194653/pdf"
"CEN24LA255","ACC","194644","2024-07-04T14:30:00Z","Brad","Texas","United States",,"N983LA","802-0983","false","Aviation","DirectorBrief","2024-08-22T04:00:00Z","2024-08-22T17:00:00Z","None","0","0","0","0","0","The pilot’s failure to maintain airplane control after encountering a large boat wake.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Choppy surface - Contributed to outcome",,"32.393360999999999","-98.448921999999996","AIR TRACTOR INC","AT-802","AIR",,,"false","1","TP",,"FIRF","137","Substantial","VMC",,"Takeoff","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=194644","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/194644/pdf"
